2000
1000
13 01 02 01 02 02 01 02 02 02 01 01 02 01 01 02 02 01 01 02 01 01 01 01 01 01 02 01 02 02 01 02 02 02 01 01 02 01 01 02
11 01 02 01 02 01 01 01 02 01 01 02 01 02 01 01 02 01 01 02 02 02 01 01 02 01 02 01 02 01 01 01 02 01 01 02 01 02 01 01
12 01 01 01 02 02 02 02 01 01 02 02 02 01 01 02 01 02 01 01 01 02 01 02 01 01 01 01 02 02 02 02 01 01 02 02 02 01 01 02
02 01 02 01 01 02 02 01 02 02 02 01 01 01 02 01 02 01 01 02 01 02 02 02 02 01 02 01 01 02 02 01 02 02 02 01 01 01 02 01
01 02 01 01 01 02 02 02 01 02 01 02 01 01 01 02 01 01 02 01 02 01 01 02 01 02 01 01 01 02 02 02 01 02 01 02 01 01 01 02
13 02 01 02 02 01 02 01 02 01 01 13 11 11 13 02 00 00 00 00 00 00 00 00 02 02 01 02 02 01 02 01 02 01 01 13 11 11 13 02
13 02 01 02 01 02 01 02 02 01 02 13 12 12 13 01 00 00 00 00 00 00 00 00 02 02 01 02 01 02 01 02 02 01 02 13 12 12 13 01
13 01 01 02 02 02 01 02 01 02 01 13 02 02 13 02 00 00 00 00 00 00 00 00 02 01 01 02 02 02 01 02 01 02 01 13 02 02 13 02
13 01 02 01 02 02 02 01 02 01 02 11 11 02 11 01 00 00 00 00 00 00 00 00 01 01 02 01 02 02 02 01 02 01 02 11 11 02 11 01
13 01 01 02 01 02 02 01 02 01 02 12 12 01 12 01 00 00 00 00 02 00 00 00 01 01 01 02 01 02 02 01 02 01 02 12 12 01 12 01
13 01 02 02 02 01 01 01 02 02 02 01 01 01 02 02 01 01 01 02 01 01 02 02 01 01 02 02 02 01 01 01 02 02 02 01 01 01 02 02
13 02 01 02 02 01 02 02 01 02 02 02 02 01 02 01 01 02 02 01 02 01 02 02 01 02 01 02 02 01 02 02 01 02 02 02 02 01 02 01
13 01 02 01 02 02 01 02 02 02 01 01 02 01 01 02 02 01 01 02 01 01 01 01 01 01 02 01 02 02 01 02 02 02 01 01 02 01 01 02
11 01 02 01 02 01 01 01 02 01 01 02 01 02 01 01 02 01 01 02 02 02 01 01 02 01 02 01 02 01 01 01 02 01 01 02 01 02 01 01
12 01 01 01 02 02 02 02 01 01 02 02 02 01 01 02 01 02 01 01 01 02 01 02 01 01 01 01 02 02 02 02 01 01 02 02 02 01 01 02
02 01 02 01 01 02 02 01 02 02 02 01 01 01 02 01 02 01 01 02 01 02 02 02 02 01 02 01 01 02 02 01 02 02 02 01 01 01 02 01
01 02 01 01 01 02 02 02 01 02 01 02 01 01 01 02 02 02 02 01 02 01 01 02 01 02 01 01 01 02 02 02 01 02 01 02 01 01 01 02
13 02 01 02 02 01 02 01 02 01 01 01 01 02 01 02 01 01 02 01 02 01 02 01 02 02 01 02 02 01 02 01 02 01 01 01 01 01 02 02
13 11 11 11 11 11 11 11 11 11 11 02 02 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 11 02 02 11 11 11
13 12 12 12 12 12 12 12 12 12 12 02 02 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 12 02 02 12 12 12
